ID;lon;lat;LU_15;LU_16;LU_17;LU_18;LU_19
1;-50.5;-12.5;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.
2;-50.5;-11.5;Forest;Forest;Forest;Forest;Forest
3;-50.5;-10.5;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.
4;-49.5;-12.5;Forest;Forest;Forest;Forest;Forest
5;-49.5;-11.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
6;-49.5;-10.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
7;-49.5;-9.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
8;-48.5;-12.5;Forest;Forest;Forest;Forest;Forest
9;-48.5;-11.5;Forest;Forest;Forest;Forest;Forest
10;-48.5;-10.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
11;-48.5;-9.5;Forest;Forest;Forest;Forest;Forest
12;-48.5;-8.5;Forest;Forest;Forest;Forest;Forest
13;-48.5;-7.5;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.
14;-48.5;-6.5;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.
15;-47.5;-12.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
16;-47.5;-11.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
17;-47.5;-10.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
18;-47.5;-9.5;Forest;Shrubs;Forest;Shrubs;Shrubs
19;-47.5;-8.5;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.
20;-47.5;-7.5;Forest;Forest;Forest;Forest;Forest
21;-47.5;-6.5;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.
22;-47.5;-5.5;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.
23;-47.5;-4.5;Forest;Herbaceus Veg.;Forest;Herbaceus Veg.;Herbaceus Veg.
24;-46.5;-12.5;Agriculture;Forest;Agriculture;Forest;Forest
25;-46.5;-11.5;Agriculture;Agriculture;Agriculture;Agriculture;Agriculture
26;-46.5;-10.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
27;-46.5;-9.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
28;-46.5;-8.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
29;-46.5;-7.5;Forest;Forest;Forest;Forest;Forest
30;-46.5;-6.5;Forest;Forest;Forest;Forest;Forest
31;-46.5;-5.5;Forest;Forest;Forest;Forest;Forest
32;-46.5;-4.5;Forest;Forest;Forest;Forest;Forest
33;-46.5;-3.5;Forest;Forest;Forest;Forest;Forest
34;-45.5;-14.5;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.;Herbaceus Veg.
35;-45.5;-13.5;Herbaceus Veg.;Forest;Herbaceus Veg.;Forest;Forest
36;-45.5;-12.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
37;-45.5;-11.5;Agriculture;Agriculture;Agriculture;Agriculture;Agriculture
38;-45.5;-10.5;Agriculture;Agriculture;Agriculture;Agriculture;Agriculture
39;-45.5;-9.5;Shrubs;Herbaceus Veg.;Shrubs;Herbaceus Veg.;Herbaceus Veg.
40;-45.5;-8.5;Forest;Forest;Forest;Forest;Forest
41;-45.5;-7.5;Agriculture;Shrubs;Agriculture;Shrubs;Shrubs
42;-45.5;-6.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
43;-45.5;-5.5;Agriculture;Agriculture;Agriculture;Agriculture;Agriculture
44;-45.5;-4.5;Forest;Forest;Forest;Forest;Forest
45;-45.5;-3.5;Forest;Forest;Forest;Forest;Forest
46;-45.5;-2.5;Forest;Forest;Forest;Forest;Forest
47;-45.5;-1.5;Forest;Forest;Forest;Forest;Forest
48;-44.5;-13.5;Forest;Forest;Forest;Forest;Forest
49;-44.5;-12.5;Forest;Forest;Forest;Forest;Forest
50;-44.5;-11.5;Shrubs;Shrubs;Shrubs;Shrubs;Shrubs
51;-44.5;-10.5;Herbaceus Veg.;Forest;Herbaceus Veg.;Forest;Forest
