ID,Longitude,Latitude,year,month,LST_d,LST_n
1,-50.5,-12.5,2015,1,31.80199586,24.7200012
2,-50.5,-12.5,2015,2,31.6049957,23.525001525
3,-50.5,-12.5,2015,3,31.4399922666666,25.034996025
4,-50.5,-12.5,2015,4,28.97599488,25.27999875
5,-50.5,-12.5,2015,5,28.9639913,23.8272705090909
6,-50.5,-12.5,2015,6,29.1017270347826,21.321995545
7,-50.5,-12.5,2015,7,30.005593264,19.4599941043478
8,-50.5,-12.5,2015,8,32.3371331285714,17.8945381863636
9,-50.5,-12.5,2015,9,35.79899139,20.53999518125
10,-50.5,-12.5,2015,10,38.2742811,22.8430692230769
11,-50.5,-12.5,2015,11,35.7366638166667,21.9857090714286
12,-50.5,-12.5,2015,12,33.3818109636364,23.0333252
13,-50.5,-12.5,2016,1,32.6999817,NA
14,-50.5,-12.5,2016,2,29.8428519,26.1074943375
15,-50.5,-12.5,2016,3,30.969989775,25.68666075
16,-50.5,-12.5,2016,4,30.9941083,22.9533250555556
17,-50.5,-12.5,2016,5,30.6052073565217,22.0477735777778
18,-50.5,-12.5,2016,6,29.9210445842105,19.1533270888889
19,-50.5,-12.5,2016,7,31.8661983034483,17.291994624
20,-50.5,-12.5,2016,8,37.4827201,18.4377678777778
21,-50.5,-12.5,2016,9,42.5953791692308,19.8399925375
22,-50.5,-12.5,2016,10,38.1888800777778,22.9857047
23,-50.5,-12.5,2016,11,33.7899932833333,23.45999905
24,-50.5,-12.5,2016,12,31.8342764857143,23.1399841
25,-50.5,-12.5,2017,1,30.2874946625,22.279998775
26,-50.5,-12.5,2017,2,30.1399841,21.6199951
27,-50.5,-12.5,2017,3,30.2733256166667,23.27498625
28,-50.5,-12.5,2017,4,30.8171343142857,24.26399534
29,-50.5,-12.5,2017,5,30.4810437631579,22.2589384368421
30,-50.5,-12.5,2017,6,29.7383244916667,20.2726247684211
31,-50.5,-12.5,2017,7,29.8911053703704,16.1984558153846
32,-50.5,-12.5,2017,8,35.9349932,16.8521701913043
33,-50.5,-12.5,2017,9,39.6290838090909,18.3466607857143
34,-50.5,-12.5,2017,10,43.4738370538462,22.7133314333333
35,-50.5,-12.5,2017,11,30.8866678666667,22.6000061
36,-50.5,-12.5,2017,12,29.88998415,NA
37,-50.5,-12.5,2018,1,31.2628478714286,22.894989
38,-50.5,-12.5,2018,2,29.5799967333333,23.9199982
39,-50.5,-12.5,2018,3,30.214988725,25.13999634
40,-50.5,-12.5,2018,4,28.69199524,25.0833282666667
41,-50.5,-12.5,2018,5,29.7608615913043,23.3166605611111
42,-50.5,-12.5,2018,6,29.331993408,20.0373853608696
43,-50.5,-12.5,2018,7,30.2613714827586,18.2236995037037
44,-50.5,-12.5,2018,8,33.7485613142857,18.1373808478261
45,-50.5,-12.5,2018,9,35.7733256,18.56399536
46,-50.5,-12.5,2018,10,34.2866567,NA
47,-50.5,-12.5,2018,11,31.1933186666667,22.2299957
48,-50.5,-12.5,2018,12,30.9933268,20.7749939
49,-50.5,-12.5,2019,1,31.3799917928571,22.4514247285714
50,-50.5,-12.5,2019,2,31.864990225,25.0799866
51,-50.5,-12.5,2019,3,30.6866556666667,21.3800049
52,-50.5,-12.5,2019,4,29.9938354461538,24.19599305
53,-50.5,-12.5,2019,5,30.591992195,23.8839945466667
54,-50.5,-12.5,2019,6,29.9472642409091,19.9914230952381
55,-50.5,-12.5,2019,7,30.0844376111111,18.4104282565217
56,-50.5,-12.5,2019,8,32.9228472,17.7810460210526
57,-50.5,-12.5,2019,9,38.7428458047619,18.9285670666667
58,-50.5,-12.5,2019,10,35.24598999,23.0799866
59,-50.5,-12.5,2019,11,34.7966613833333,NA
60,-50.5,-12.5,2019,12,33.98999025,22.599990825
61,-50.5,-12.5,2020,1,31.6866556666667,21.8885672571429
62,-50.5,-12.5,2020,2,31.1699930833333,21.6466573
63,-50.5,-12.5,2020,3,27.494987475,26.3466593333333
64,-50.5,-12.5,2020,4,28.6784550538462,26.387493125
65,-50.5,-12.5,2020,5,29.1905786882353,21.6511060888889
66,-50.5,-12.5,2020,6,29.424790044,20.0052132
67,-50.5,-12.5,2020,7,29.7430701615385,18.2269486173913
68,-50.5,-12.5,2020,8,37.275826775,17.7509030363636
69,-50.5,-12.5,2020,9,43.3571370523809,19.4299943611111
70,-50.5,-12.5,2020,10,43.63999327,22.27599486
71,-50.5,-12.5,2020,11,32.33665975,23.5400085
72,-50.5,-12.5,2020,12,32.35500335,22.3066609666667
73,-50.5,-12.5,2021,1,30.85998534,24.2999979333333
74,-50.5,-12.5,2021,2,29.2649994,24.9199829
75,-50.5,-12.5,2021,3,29.1228463428572,26.519989
76,-50.5,-12.5,2021,4,29.71999512,24.34399414
77,-50.5,-12.5,2021,5,28.6105795470588,22.8479960133333
78,-50.5,-12.5,2021,6,28.7224934791667,19.7141185117647
79,-50.5,-12.5,2021,7,29.1799900173913,17.4485691619048
80,-50.5,-12.5,2021,8,34.9752342619048,17.2894656631579
81,-50.5,-12.5,2021,9,36.323743825,20.9424934375
82,-50.5,-12.5,2021,10,34.2371346571428,22.8199920833334
83,-50.5,-12.5,2021,11,31.7599792,NA
84,-50.5,-12.5,2021,12,27.8200073,20.6999817
85,-50.5,-11.5,2015,1,33.1749954125,24.5499878
86,-50.5,-11.5,2015,2,30.72499085,23.1266581
87,-50.5,-11.5,2015,3,29.5499878,24.4400024333333
88,-50.5,-11.5,2015,4,31.0999959333333,24.5733337333333
89,-50.5,-11.5,2015,5,30.2661461538462,22.8622233
90,-50.5,-11.5,2015,6,30.3081720409091,21.5009445952381
91,-50.5,-11.5,2015,7,32.6095594347826,20.750394292
92,-50.5,-11.5,2015,8,35.7069173961538,20.1408297125
93,-50.5,-11.5,2015,9,37.7263585909091,23.25399323
94,-50.5,-11.5,2015,10,40.6119913733333,24.4557080928571
95,-50.5,-11.5,2015,11,37.5099869,24.6685703571429
96,-50.5,-11.5,2015,12,36.2199925142857,24.56399536
97,-50.5,-11.5,2016,1,32.6399841,NA
98,-50.5,-11.5,2016,2,33.15598756,24.6428527571429
99,-50.5,-11.5,2016,3,32.5299937,24.557498925
100,-50.5,-11.5,2016,4,31.5082253823529,22.8199951066667
101,-50.5,-11.5,2016,5,31.9323759523809,22.4631524210526
102,-50.5,-11.5,2016,6,31.1466573166667,20.93817695
103,-50.5,-11.5,2016,7,34.3429576740741,19.7478485107143
104,-50.5,-11.5,2016,8,38.01199188,21.2295154380952
105,-50.5,-11.5,2016,9,38.3969139846154,22.4466552888889
106,-50.5,-11.5,2016,10,37.8083241666667,24.3099924833333
107,-50.5,-11.5,2016,11,35.0233307,24.22998555
108,-50.5,-11.5,2016,12,31.7199910666667,24.6399841
109,-50.5,-11.5,2017,1,31.207492825,22.00499725
110,-50.5,-11.5,2017,3,30.814987175,25.4099884
111,-50.5,-11.5,2017,4,31.06398926,24.0599873666667
112,-50.5,-11.5,2017,5,30.6428484333333,23.1835255352941
